Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
IP6K3,7.987516,8.14205,5.51442,5.4594
SAMD5,8.873329,8.85175,6.508605,6.9189
PNLIPRP1,3.219249,3.585,0.269529,0.0
RP11-464D20.2,1.600013,1.62995,5.113609,5.0496
HOXA10,1.399712,1.585,4.909977,4.3291
TERT,0.194,0.0,4.846397,4.5236
RP11-261N11.8,6.416547,6.7542,2.551213,1.585
C7,12.170649,12.1341,9.405758,9.6564
CTRB2,5.226912,5.92645,0.747072,0.0
CHRNA4,11.318913,11.74445,5.832778,5.6439
ADRA1A,9.729975,9.9534,5.75548,6.0
THY1,7.048705,6.9659,10.972299,11.0427
RP11-64K7.1,0.141813,0.0,4.307204,4.4094
MYH1,4.206335,4.2633,1.233434,0.0
AC016738.4,5.600042,5.75205,2.992142,3.06
CHST4,6.363978,6.1085,3.046271,1.585
RP11-394B2.1,8.013618,8.11025,5.089443,5.4909
MYH4,1.065466,0.0,4.774275,3.0
EEF1A1P9,1.578764,1.5945,5.657289,5.7087
TINAG,0.240835,0.0,3.44996,2.0
HHIP-AS1,5.081363,5.1084,2.336198,2.0
MT1E,12.692694,12.8497,10.034978,10.2131
MFSD2A,12.021134,12.2767,8.448512,8.5118
KCNJ16,5.360325,5.33975,2.645589,1.585
CCNB2,4.213306,3.9069,8.230397,8.3354
MT1H,10.456975,10.97375,4.994912,4.5236
RP11-215A21.2,1.060612,1.0356,5.345687,5.3187
CDK1,4.001501,3.6427,8.851529,8.9454
CXCL11,1.771041,1.585,5.803952,5.6724
ASPG,12.256246,12.3849,7.818114,8.8329
HHIP,7.911663,7.99125,3.465828,3.0
MYH6,4.32548,4.81515,0.506961,0.0
RPL37P6,0.220797,0.0,4.608467,4.4835
FAM64A,1.69145,1.585,5.096168,5.0148
EIF4BP7,3.481007,3.58975,7.023064,6.9975
THRSP,10.295768,10.79925,7.753425,8.1293
NEAT1,15.445488,15.4364,13.271576,13.3106
PZP,8.919855,8.85055,4.466387,3.8227
RP11-10G12.1,0.059819,0.0,3.518445,3.6053
CCL25,1.285574,1.0,4.880555,4.7549
KRT17P4,6.166382,6.1589,1.828798,1.585
ALG1L,2.308805,2.2387,7.125605,7.6896
CKAP2L,2.991055,3.0,7.062982,7.2288
CFTR,6.209484,6.19975,3.75166,2.8074
HRCT1,3.437578,3.4594,7.332206,7.2479
RP11-196G11.1,7.989508,8.025,5.608964,5.8122
RP11-284F21.10,3.151195,2.8074,7.678999,8.2192
KRT5,6.252885,6.32365,2.618545,1.585
RP11-71L14.3,3.584434,3.585,0.729631,0.0
NPPA,4.510321,4.7724,1.651944,1.585
RP11-106D4.2,5.472743,5.33975,2.902686,2.8074
LINC01296,2.661465,2.80325,6.948887,7.2339
CYP2A7,9.603373,10.06625,7.146608,7.0621
LINC01348,10.185445,10.1155,7.156589,7.5078
MDK,6.203085,6.0875,11.912342,12.0362
FAM153A,5.016467,5.01005,2.414694,2.0
FAM83F,6.810671,6.85175,3.282213,2.6392
OXT,5.672115,5.7004,2.573892,1.585
POM121L9P,5.831026,5.68775,3.312322,3.3462
AP006285.7,4.70079,4.76795,1.355043,1.0496
RPL10P3,0.232162,0.0,3.565123,3.6088
KIFC1,3.895316,3.5222,8.758917,8.858
SKA3,2.376655,2.0,7.027696,7.1085
AC004019.13,6.174899,6.4116,3.429855,3.5874
HOXD8,1.615116,1.585,4.711666,4.9069
TRHDE-AS1,5.342469,5.56555,2.631342,1.0
NUF2,2.725013,2.585,7.505996,7.5774
RP11-284F21.7,1.212641,1.0,4.492815,4.9542
SSX1,0.1235,0.0,4.058133,2.0
CPB1,5.617009,6.0661,2.27331,2.0
CEP55,2.444214,2.16095,6.733551,6.65106
MESP2,1.201612,1.0,5.070953,5.0875
COX6B1P4,3.760061,3.95345,0.674495,0.0
MUC13,4.683383,3.9069,9.301618,9.3902
CTD-2537I9.12,7.04881,7.0553,4.59632,4.6439
DPT,8.111277,8.1724,5.535859,5.4919
FAM99A,11.458116,11.6351,6.3081,6.2479
CRP,16.54969,17.73805,13.269392,13.8646
CDH13,4.717256,4.61445,8.475303,8.585
GCNT3,2.783151,2.3219,6.158932,6.2854
MT1M,10.8926,11.0168,6.258617,5.8329
BUB1,3.429193,3.0,7.912398,7.9887
CXCL10,4.588711,4.4594,9.061633,9.0417
SMPD3,8.143238,8.10455,5.648572,5.5537
CTB-50L17.14,8.579552,8.7067,6.159734,6.4434
GNAO1,9.738779,9.90905,6.863447,6.8074
UBE2T,4.264023,4.0875,8.280876,8.3354
DIO3OS,8.259276,8.2216,4.461285,4.3923
IL1RL1,7.836243,8.014,3.623365,3.4594
CRHBP,8.747,8.6383,5.275338,4.858
FAM95C,6.584682,6.7,3.482972,3.5185
SPC25,2.637783,2.3219,6.682242,6.7682
AC004538.3,5.469467,5.82275,2.633384,2.342
CENPI,2.634665,2.3219,5.92079,5.9307
RP1-102E24.8,7.444763,7.6034,4.463691,4.585
PDGFRA,9.57324,9.41785,7.370749,7.7814
S100A8,8.796846,8.6088,5.935107,5.7549
MEG3,11.370518,11.29405,8.051217,7.8074
LHX2,6.739497,6.8138,4.313509,4.3219
SFN,4.926865,4.5236,8.5536,8.9972
KIF20A,3.251931,2.8074,8.213284,8.3174
RP11-361L15.5,6.139101,6.33,2.732215,2.4699
C3P1,12.990057,13.2558,9.940207,10.8074
MCM10,2.95127,2.8074,6.738723,6.7944
CCL8,1.471708,1.2925,4.951322,5.0
HBA2,11.661307,11.80385,8.821411,8.7669
OR10J6P,7.755989,7.9425,4.270231,4.5236
RP11-347C12.1,7.263182,7.39485,4.087071,4.225
KCNE1,6.622117,6.56725,2.688069,2.585
PTH1R,9.975424,10.1793,6.054793,6.0224
AC005077.14,9.924385,10.0096,6.237247,6.4094
C14orf180,5.857803,6.16975,1.722226,1.0
MST1P2,12.80957,12.84,9.721132,9.9082
CHRM2,4.3218,4.6439,1.121145,0.0
HAGLR,1.447134,1.585,5.915469,5.2479
FAM65C,9.52141,9.6248,5.385377,5.4263
FCN3,9.873737,10.0753,6.788894,6.5236
GH1,3.841386,4.0,0.50043,0.0
DCN,12.125552,12.16555,9.770508,10.1215
KIF18B,3.637079,3.1699,7.348064,7.5314
MUC3A,9.98602,10.39305,7.662896,7.7207
ADAMTS13,10.397952,10.43985,7.672183,7.6724
GNAZ,4.167027,3.8595,7.983702,8.3437
SCN7A,5.919295,5.94245,3.126224,3.0
REG1B,3.983484,4.2479,1.28214,0.0
MST1L,11.951931,12.0347,9.347856,9.5355
SLC4A1,4.496335,4.612,1.358486,1.0
RP11-622A1.2,8.422185,9.02335,5.941273,6.375
PDZK1IP1,5.103647,4.585,8.627111,8.7944
RP11-449P15.2,8.556572,8.44985,6.26232,6.4393
C9,13.873339,13.8895,10.390953,11.4173
SLC6A19,5.283665,5.37495,2.480157,1.585
TUBBP10,6.102178,6.10695,3.312723,3.4568
SLC51B,3.44097,3.1699,7.058675,7.1085
MCM2,6.346883,5.97655,10.096621,10.0701
COX7B2,0.078045,0.0,3.707784,1.585
KIF18A,2.126503,2.0,6.293151,6.3576
NQO1,5.727203,5.30275,10.277108,9.1923
RP3-342P20.2,6.74421,6.96025,2.165301,1.7049
MRAP2,2.191502,2.16095,5.859802,6.3038
CDC45,3.708882,3.3219,7.524966,7.6724
RP11-667K14.4,1.510558,0.0,5.862629,6.0999
CPLX2,2.502609,2.585,6.192596,6.0661
BIRC5,5.435552,5.1084,9.353358,9.5774
APLN,3.981214,3.7004,7.791493,7.8826
MND1,2.075049,2.0,6.461917,6.4919
RP11-54O7.3,6.563605,6.57745,3.082273,3.0
HAPLN4,8.350054,8.3746,5.436177,5.5481
ADCY1,11.047333,11.2176,7.565644,7.3309
MT1G,13.613393,13.78895,8.913387,8.7601
SLC22A1,13.445278,13.77325,10.625134,11.374
OIP5,2.734775,2.57265,6.458739,6.5671
ST6GAL2,6.274148,6.47245,3.806313,3.8074
FLJ22763,6.38298,6.9307,3.857561,4.0
CDH19,6.729445,6.65795,3.791539,3.9069
UROC1,11.149226,11.58375,8.322735,9.1111
PRM2,3.230087,3.7004,0.105585,0.0
SYT9,7.055689,7.10305,2.411966,1.0
LINC01370,6.491173,6.82645,4.070989,3.8074
INS-IGF2,5.788104,5.6707,1.755187,0.0
CENPM,2.957184,2.6962,7.562175,7.6511
HOTTIP,0.168955,0.0,4.002836,4.3923
IGF2-AS,5.800125,5.69575,2.785334,1.6182
ASF1B,4.320971,3.8074,8.162755,8.1548
CCBE1,7.701842,7.7211,3.331463,3.1699
HBB,11.953835,12.00725,8.494614,8.4136
PGA3,6.634714,7.1697,1.609524,1.3219
MARCO,7.728406,7.90685,4.739905,4.2479
APOBEC3B,2.972935,2.84195,6.961278,7.2156
SRPX,8.114895,8.03065,5.849749,5.6724
LEF1,3.373057,3.3219,7.158335,7.4003
CSMD1,0.533472,0.0,3.687245,2.3219
KIF15,2.743824,2.585,6.591478,6.6294
CST1,0.121108,0.0,3.262391,2.0
FTH1P8,3.508193,3.41345,7.264879,7.2764
FTH1P20,3.606329,3.57095,7.852713,7.906
CLPS,4.516416,5.2849,0.320596,0.0
PRC1,5.769811,5.39245,9.371898,9.4065
