Gene,Mean_GTEX_Healthy,Median_GTEX_Healthy,Mean_TCGA_Tumor,Median_TCGA_Tumor
LINC00900,2.56315,2.3219,6.082537,6.2479
CHRM3-AS2,6.051296,6.50775,3.198199,3.3219
IL2RG,6.601229,6.4456,10.540879,10.545
APOB,3.971361,3.95345,7.975357,8.0056
SERPINA4,5.776457,6.19215,3.201483,2.8074
VWA5B1,5.942279,6.1291,1.958866,1.585
RP4-568C11.4,7.571804,7.97095,3.048986,2.585
ERVMER34-1,5.943082,6.18925,3.688104,3.585
DLX1,1.355504,1.0,5.122221,5.2854
ARL11,3.621582,3.4594,7.208305,7.324921
RP11-728F11.3,6.604246,7.107,4.233343,4.3448
IRX2,8.009232,8.13065,4.389769,4.5236
RAB42,4.329175,4.2849,9.505778,9.5999
CD86,4.774254,5.22765,9.615135,9.7499
C2orf71,4.029632,4.88245,0.513065,0.0
TACSTD2,10.865661,11.2191,8.985446,8.6073
RP11-173P15.5,0.653839,0.0,4.976556,6.0461
MT-TC,0.246675,0.0,3.761472,3.9069
SIM1,8.769879,9.133,6.928413,8.1699
PVT1,4.687507,4.61445,9.06726,9.1667
SLC13A2,8.090029,8.8933,3.42545,3.1699
RP11-547D24.1,0.837257,0.0,5.314835,5.5236
CD5,4.510768,4.3923,8.343019,8.4471
TNIP3,1.51665,1.0,5.01081,5.0444
RP11-463D19.2,0.077911,0.0,3.270547,4.1309
SLA2,4.155082,4.1902,7.828358,7.8678
TNNC1,6.985811,7.26605,3.668576,3.4594
RP11-1055B8.4,8.391946,8.7894,5.702323,5.89484
CXCR4,8.517761,8.3567,13.271192,13.3422
HHLA2,5.955914,6.4586,10.8525,11.6764
VGLL1,3.417025,3.06465,0.712703,0.0
ELF5,6.262346,6.6412,1.883877,1.585
CELA3A,4.585989,5.30555,0.124133,0.0
BMPR1B,7.361632,7.6159,5.157928,4.9542
ADH1C,6.536496,7.2904,3.884546,3.8074
HAVCR1,5.689757,5.75465,10.085351,10.5812
DPP6,7.159461,8.2376,4.034738,3.9069
RPS2P55,2.638964,2.55915,6.452441,6.5166
MYO3A,4.543461,4.6439,8.614514,9.0795
EPHA3,5.042139,5.04375,9.499442,9.8202
C1orf116,8.454218,8.651,5.885287,5.6439
RP4-737E23.2,4.876821,5.9212,1.963438,1.585
TRBV5-1,1.209929,0.0,4.525856,4.585
RP4-789D17.3,2.870796,2.69785,0.158609,0.0
PVRL4,6.940486,7.2809,4.754788,4.5236
CCL18,1.673457,1.0,7.680551,7.6653
HRH2,4.372179,4.2811,8.616827,8.8486
SFRP1,11.354536,11.99005,7.589591,7.4094
KCNAB1,5.496693,5.598,9.256951,9.4284
HNRNPCP2,4.176171,4.46075,8.297267,8.3825
IGHV3-30,3.115939,2.0,7.390552,7.3388
SPRR3,4.89765,5.1694,0.774868,0.0
SIX1,2.408586,2.3219,6.237195,6.3399
CELA3B,3.638264,4.2849,0.129165,0.0
LINC01544,3.61025,3.6962,0.873287,1.0
IGHV1-18,2.385746,0.7925,6.066547,5.7549
CD70,2.631496,2.45345,10.07629,10.8049
